Area Code (ISO3),Area,year,cpi_food_based_previous_year
F351,China,2000,97.4
F351,China,2001,100
F351,China,2002,99.4
F351,China,2003,103.4
F351,China,2004,109.9
F351,China,2005,102.9
F351,China,2006,102.6
F351,China,2007,112.3
F351,China,2008,114.3
F351,China,2009,100.9
F351,China,2010,107.6
F351,China,2011,111.9
F351,China,2012,104.8
F351,China,2013,104.7
F351,China,2014,103
F351,China,2015,102.3
F351,China,2016,103.9
F351,China,2017,98.6
F351,China,2018,101.8
F351,China,2019,109.2
F351,China,2020,110.6
F351,China,2021,98.6
F351,China,2022,102.8
F351,China,2023,99.7
